label,text
negative,"ЦСКА - КУБАНЬ - 1:1 (0:0). 
ЦСКА - дрыщииии"
positive,Любимая банда)))
positive,Хах.. в точку!
positive,"приятно, когда человек разговаривает с тобой и ты чувствуешь, что он тебе доверяет и ничего не скрывает,говорит так, как есть на самом деле"
negative,"Поездили на ""тоталитарном наследии"", а когда оно устарело - выбросили. А ведь Сумский фарфоровый завод - единственный завод столового фарфора в Украине. Но кому он здесь нужен? Здесь главное носить вышиванки и петь песни о героическом прошлом.

"
positive,Малышка..😉☺
positive,"если задуматься, то в моей сознательной жизни только один год первое сентября не ассоциировалось с радикальными переменами в образе жизни. что, кстати, сильно контрастирует с первым января, которое вообще напоминает только о том, что через две недели др.
в общем всех с осенью, началом учебы, началом преподавания, новыми сезонами любимых сериалов, желтой листвой в парках и мечтами о следующем отпуске.
Fuck the January.
Happy New Year!"
positive,"Люди, вы такие замечательные! Я вас люблю! Вот сижу и улыбаюсь)"
negative,почему нельзя научиться мирно выражать своё мнение!!1???
negative,"После всего, что мы испытали,
Всего, что было между нами,
Мы не останемся друзьями."
positive,Сдал теорию  ПДД!!!!!
negative,"Жалко этого мужчину, интересно что за болезнь такая"
negative,хана укропам
positive,"Урааа, я нашла его. Классный, правда? ;)"
negative,Этот день наступил.Мое подсознание окончательно свихнулось.
positive,Моя Маруся!!
positive,У меня родилась прекрасная дочурка Виктория Сергеевна!!!Самый счастливый ПАПАША!
negative,"дожди и все время спать хочется, как не просыпать и бодриться?"
positive,моя бесконечная любовь👼
positive,"Если растают ледники, ничего страшного,  мы готовы)"
positive,"Давайте, петушки, победите :)"
positive,А до неба рукой подать)😊😗🙊😻👸👑🌻🌙🌞🌝
positive,ахаххахаахахахахахахахахахахах
positive,"Лучшая подруга - не та которая говорит: ″Найдешь лучше него″,а та что звонит ему и говорит: ″Лучше нее ты не найдешь!″"
positive,"Моя мама-красивая❤
Моя мама удивительная❤
Моя мама заботливая❤
Моя мама любящая❤
Моя мама прекрасная❤
Моя мама-моя сестра❤
Моя мама потресающая❤
Мая мама-ето все😘💞😍😚"
positive,воообщееее вот эта песня нулевых...сто процентов крутая
negative,Надо отрывать руки людям которые делают это! Уверен что для них есть особое место в Аду...
positive,Кстати ! Хотела отметить . Оригинальное платье у Кати !!! :))
positive,мои пупсы любимые спят)))
negative,"Школота, насмотревшись роликов в интернете, решила пристать к мегаадекватному сотруднику ГИБДД. Самое забавное при всем при этом - они реально считают, что дебилы не они. Лайк инспектору, по-больше бы таких:

"
positive,"Ураааа!!! К нам [ vk.com/nyusha_against_fakie ] вступила настоящая НЮША! :)))
Нюшенька спасибо тебе огромное, что ты с нами!!!
Мы тебя все очень сильно любим!!"
positive,любкаю тебя маси4ка моя*
positive,привет из Кремля!
negative,вот живёшь так хорошо а потом так бац........ и все нету не друзей не девушки никого лишь ты один  и никто более(
positive,Люблю тебя безумно=**ты самый главный человечек в моей жизни=**уезжая на учебу ты забереш с собой частичку меня(
positive,я поржала :3
positive,Как красиво...а главное сексуально :D:D:D:D
positive,Универ окончен!)
positive,"Не знаю, как вам, а по мне так эта девчонка - самый мега-крутой персонаж Игры Престолов. Без вариантов!"
positive,Наконец я стал дядей!:)
positive,"ну это, конечно, космос 😍
СКА - Торпедо 
2:0
Че, кто в следующий раз со мной погонит? 😜🙈"
positive," 
привлекательно"
positive,"Спокойный, высокого уровня ума человек."
positive,Я стал еще сильнее. Теперь я 155 уровень! Скоро ни один безумец не будет проблемой для меня.
positive,"лол)приятно)
критику мне"
positive,я вобше плакал=))))))))
negative,заболела((
positive,Зенит-чемпион блять!!!! 3-2 поимели бенфику!!!! ураа!)))
positive,Джентельмены! Тир это прекрасно!)))
positive,"ласточка моя, родненький, я так тебя люблю:** 
ты самый родной, милый, неповторимый человечек в моей жизни:* 
сегодня такой прекрасный день - наш день! день любви и понимания, нежностей и поцелуев, ну в общем как и каждый наш день, но по-особенному нежен:* 
очень жаль конечно, что именно в этот день тебя не было рядом, но мы наверстаем, да? обещаешь?
хороший моооой*_____*"
negative,мне надоело красавить одному
positive,"Приятно, когда поздравляют два дня подряд)))"
positive,вот это крутотенюшка
positive,прикольный дем откопал)
negative,(((не хочу я ничего(((
positive,"Норвегия, мечта моя😍 Когда уже наступит мое время приключений?"
positive,Ахахах..а такое видала))))
positive,Я тебя люблю..=*
negative,"доминируй,властвуй,УНИЖАЙ"
negative,зря я посмотрела фото..
positive,так нравииииится
positive,божееее....какая прелесть!!!!!!!!!!!
negative,"бля, вот все к этому ведет"
negative," Банально попросили предъявить права. Но разве Альбац простая гражданка? О нет, ей можно то, что нельзя другим…
Попробывала бы Альбац в любимой ей Америке не показать документы! 
Там бы она не только не вызвала бы Эхо, но и стояла бы ""ноги на ширине плеч, руки за голову"". Сейчас вместе с другими либерастами она будет доказывать, что ее остановили сатрапы режима  за то, что кричала ""Долой Путина!"" 
Еще одна ""жертва кровавого режима"", навроде пусек…
"
positive,Отдохнули Хрорррошо щщщщссс)))
positive,И я на подтанцовках)))массовка!
positive,"так уже хочеться мандаринок,снега и новогодних фильмов.©"
negative,"бля и нахуй выставлять фотки, если до них дела нет??!! удалять альбомы или нет?"
positive,99% моих мыслей занимает один прекрасный идиот..
positive,песня норм
negative,"Т.К. к бандитам и БАНКИ ОТНОСЯТСЯ,то с них и начну!!! РОСБАНК уже практически готов к БАНКРОТСТВУ,остается кто? РОССЕЛЬХОЗБАНК и СБЕРБАНК так? Тогда слушаейте сюда! Если вы кредитные ДОГОВОРА не перепишете по-новой с указанием всех возможностей выплаты кредита (я про то,что БАНКИ сами могут ДОЛГИ СПИСАТЬ с должника или выдать новый график гашения только основного долга!), то буду вас стравливать с народом,которого ВЫ ОГРАБИЛИ,лишили единственного ЖИЛЬЯ и переписали долги недобросовестных заемщиков на поручителей!!!!!!!!! С любовью к миру,ДОЛАНА"
positive,"смотри и наслаждайся)))) классные картинки, правда?))))"
positive,наконец-то 2 жопы поменял на 2 симпатичные мордашки))))
positive,Послушай...я тащюсь от неё...
negative,а ну-ка вышел из контакта бляя
positive,тетя я тебя люблю!
negative,Траур. Черепаха Геннадий приставился
positive,Светка ну ты просто безбашенная кокетка!!)))
positive,Дядя Мишаня-молодец.
negative,что-то все заебало очень?!!!!!!!!!!!!
positive,"лето,солнце,жара!!!лето,солнце,жара__танцуй до утра_:)"
positive,Наверно это мой рай......))))
negative,Капец завтро ЭКЗАМЕН.... :(
negative,"Глупо не общаться с человеком, который тебе дорог. И неважно, что случилось. Его в любой момент может не стать. Представляешь? Навсегда. И ничего не вернёшь."
negative,"Те не кажеться что статус бред когда разабьешся что дальше, как добиваться будешь разбитым"
positive,Царица Тамара))
positive,Памятка - завтра же праздник!!!  prikol.i.ua  Памятка - завтра же праздник!!!
positive,"Ну вот, теперь мы можем до конца жизни хвастаться что пережили очередной конец света. Ура! =)"
positive,Заебись что я МУЖИК!
negative,су4ка ебанаяиди нахуй дура был быя около тебятыбысама умирала вдолгих мучениях
negative,"черт,меня таки развели....
В Номе с 1967 года начали пропадать люди, с ноября 2000-го психолог Абигейл Тайлер, начинает заниматься с травмированными людьми, якобы после ""похищения инопланетянами"", доктор Абигейл выявляет, что все душевнобольные видели сов. Доктор Абигейл в 2002-ом дает интервью, в котором рассказывает свою историю. 
На этих событиях основан сюжет фильма ""The Fourth Kind"", где глав"
positive,Наше первое поле РЖИ.Озимые.10 дней.УРА.
positive,"Даниил с Алёной сегодня готовили пончики, которые Даня научился в школе делать. Так что сегодня у нас вкусное угощение дома :)"
negative,"Теряя родных людей,  я теряю частичку  своей души,  когда придет моё время я  буду уже бездушной."
positive,Очень жду нашей  встречи
positive,"Достойное место👍
Ростов-папа радует папу✌️ @ Red Burger Bar"
positive,"Я очень люблю свою подругу. И знаю, что возможно она сейчас читает эту запись и улыбается."
positive,Яна ты лучшая!!!ужасно скучаю по тебе!
positive,мой любимый клип
positive,Сегодня были на фотосессии))) #мамасдочей #моядочаизабель
negative,Я хочу умиреть
negative,"ах ты гандон шляп,"
positive,"Радует,что впереди ЛЕТО и просыпаться больше не надо утром)"
positive,хочу быть медведем)
positive,посмотрела. внатуре норм. рисуй щас также
positive,Всем кискам пис✌🏻️
positive,"Цени свою подругу. ведь кто, как не она, будет матерится с тобой на твоего парня, ржать в автобусах. Кто как не она будет разговаривать с тобой пока не дойдет домой или опозорит на всю улицу, ведь она такая любимая идиотка у тебя."
positive,Лучшая подруга не бросит в беде
negative,"Бесят мудоебы, которые говорят о чем-то со стопроцентной уверенностью. Это же пиздец. Причем так могут говорить только о том, чего они в жизни не знают. Я вот, например, стопроцентно уверен, что такие люди долбоёбы и пидарасы."
positive,хочу конечно)
negative,"Содомит наконец-таки уебывает в пидер. Прощай, мозгоебство!"
positive,с окончанием сеессии!
positive,Это ты малышочек))
positive,я еще такого невидел ..молодец...
positive,концерт хороший
positive,"Это из одного фильма, который я безумно люблю"
positive,"Я хоть и распиздяй, но душа у меня охуенная.©"
positive,Ещё фото с моего диплома☺️
positive,"Саша, я тебя люблю"
positive,"братух мне 8 дней до дома,я в штаны ссу))не верится и волнение ебанутое какое то)))"
positive,"Ващеее круууто)), супер, музыка и видос)"
negative,"Я не понимаю почему на всех страницах в социальных сетях есть приколы про Челябинск и его население, почему все прикалываются над нами, непонимаю!??!"
positive,Самый красивый парень😊😊😊любит тебя😘😘😘
positive,"вы просто замечательны ,ваши произведения такие проникновенные...завораживающие дух ,читая-""от грехов ,до истины"" я рыдала ,не могла сдержать слёзы !!! вы чудесна и прекрасна ,спасибо огромное вам !!!"
positive,Всё будет хорошо!!!
positive,наслаждайся!
positive,"а жизнь то,налаживается"
positive,"Любовь на самом пике взлёта.Фима и Даша.Аэродром в городе,где медведи любят проводить время в центре)"
negative,Грустный КПИшный ёжик 😞
positive,Хочу училку !:D
positive,"Ну тогда вот!
 Пятый год несменно стоит у меня на будильнике)"
positive,вот тебе маленький подарочек от меня*
positive,всё мы друзья на веки...и мне похуй что будет...я за тя на смерть..и похуй что мы соримся раз в год..и чуть на долго...я за тя пиздец стеной..)..
positive,Моя сладенькая ручка! Моя любимая доченька!
negative,"Второе место, Засудили,суки. Ничего мы ешё туда вернемся.."
positive,Отличные выходные !!!
positive,"ждемс нового альбома )) 
надеюсь остальные будут не менее классные )"
positive,еще чуть-чуть осталось. я соскучилась
positive,посмотри понравится)
negative,Ебать сука бред...
positive,мяу🐱снова взялась за карандаши🌺
positive,"Это безценно😍
Люблю вас*❤"
positive,💋 прекрасная погодка 💛💙 
positive,"У каждого  должна быть своя Машка😘😘😘😘😘💋💋💋💋💖😍😍😍
У каждой Машки, должна быть своя Катюша)) 😊 ♥♥♥"
negative,"Санек ты же вчера обещал позвонить , а сам поехал окрошку кушать. Не по дружески ((("
positive,"Что может быть лучше...только ты и я, луна и море)"
negative,"Мало кто позвонит
Узнать как дела.
Звонят только тогда , когда проблемы."
positive,Мы стильняшки... хахах..
positive,Любовь к Италии-самое высшее что только возможно! Ведь она простирается с самого детства в наших сердцах!
negative,"Наш государство требует от нас больше, чем может дать нам само. Взрыв в Домодедово."
positive,Приятное видео.
negative,Четвероногая ТВАРЬ!!!!!!!!!
negative,"Вы говорите,что я странная,потому что я не такая как вы...А я говорю,что странные ВЫ!!!Потому что вы одинаковые..."
positive,"Читаю дневник парня из Блокадного Ленинграда, 1941-1942 гг. Осознал цену жизни, мира, хлеба. Очень сильная вещь!"
negative,"Время не лечит. Лечит алкоголь и случайное знакомство. Лечат секунды, проведенные с кем-то другим. Лечат длинные улицы и проспекты в огнях,огромные очки,за которыми не видно уставших глаз. Лечат мечты о лете, о новой жизни. А время, ... А время не лечит,время идет мимо."
positive,ну вот эта просто не может не понравиться! )))
positive,"Ты очень красивый...и губы,губы..!!:*:*"
positive,У каждой Даши должен быть лучший братан  Вова)
positive,какая она смешная
negative,"Больше мне не баловаться чачей,/Сдуру не шокировать народ./Молодость, она не хер собачий,/ Вспоминаешь — оторопь берет."
positive,я вернулся))))
positive,14 группа!!))) Айда в среду на всю ночь в мафию на Печерске =)) Не будьте занудами) мы заслужили это!!
negative,"""устроили тут хаос понимаешь)"" не быкуй!"
negative,Ещё одна проблема!!!Майка мне почти до колен!!!!!!!!!
positive,Ну наконец то :D
negative,"мой тефон был утерян, и все номера пропали=(((( скиньке мне свои номера в личку=))))"
negative,"Первые два года мы учим наших детей ходить и разговаривать, а потом до самого совершеннолетия только и орём на них: «Сядь и заткнись». (Ozzy Osbourne)"
negative,"#возмущение
Вот и ""прокачали""  новые сочинские электрички какие-то (скорее всего малолетние) подонки.

Почему-то вспомнилось: ""будете экономить на образовании - разоритесь на тюрьмах!"" ну и, как минимум, на новых электричках тоже.

[id144591031|Егор], ты популярен у школоты))"
positive,"Тихо падает снег на аллеи и голые ветки,
В предвкушении чуда - люди быстро стремятся домой.
Человек, как птенец, в золотой и замкнутой клетке -
Чем прекрасней оковы, тем сильней для него эта боль.

В разноцветных шарах таят лампочек отблески света,
А в игрушках на ёлке таится секретный огонь.
Только душу терзает приятная память о лете,
Но камин помогает не мерзнуть холодной зимой.

В осветленную комнату входит влюбленная мама,
А за руку ее трепетно держит отец.
Но вот время у нас остается совсем уже мало...
Мы возьмемся за руки, чтоб слышать биение сердец...

Мы опять наряжаем ёлку в гирлянду из свечек,
С ожиданием чуда ложимся под полночь в кровать.
Только к полночи сердце мое все больше трепещет...
Сколько же можно уютных объятий ждать?

Юлия Гасай"
negative,ХОЧУ УМЕРЕТЬ:((((!
positive,мне фоновая музыка очень нравится)
positive,сине желтые  вперед !
positive,Вокал красивуший ;-)
positive,Настоящий летний ливень!!!😉☺☺☺
negative,"Чё-то типо жизнь проходит мимо
и чё там дальше,жизнь тупого мима))"
positive,Что может быть лучше цветов и кофе утром... #цветыотлюбимогомужчины
positive,"покатались на коньках супер)))) ну если конечно моё ""катание"" можно назвать катанием=))))"
negative,очень страшно
positive,"Святая наука - расслышать друг друга
сквозь ветер, на все времена..."
positive,Это мне подарочек был такой на ДР от Аси Андреевой)))
positive,я люблю на крыше
positive,Папа и сыночек красавчики)
positive,Я с друзьями ржу абсолютно со всего. И неважно как мы выглядим при этом. Главное - нам хорошо и весело. И за это я их обожаю.©
negative,Фашизм бред для далбоёбов!
negative,"Сложнее всего забывать тех людей, с которыми ты забывал обо всем."
negative,"Ладно утром проспал, ладно в учебе зае*али, но когда у меня оторвалась нитка от пакетика чая тут я просто сорвался."
positive,"Хорошо сидеть себе где-нибудь в закутке, курить и попивать. Я всегда был лучшей компанией самому себе."
positive,"пап,я люблю тебя очень!!!очень!!"
negative,автобусники дебилы
positive,на те сочных...хахахх.)))
negative,"Я вас очень люблю, хотя вовсе не помню
Мне грустно, когда вас нету рядом(
Но вы останетесь в моей душе

Я помню их и буду помнить!
Пока мне память, позволяет помнить!
О том, что было, но уже прошло.
И пожелаю им, в той жизни вечной,
Спокойных снов, на земляном пуху!
И каждый раз, их вспоминая сердцем,
Слеза тихонько по щеке бежит.
Ну как же так, мы говорим о прошлом!
А рана до сих пор болит.
Спасибо вам мои родные,
Что были в жизни у меня!"
negative,слышь ты уебина лопоухая у меня в Углегорске бабушка живет)))не порочь сукан город))
positive,"ааее.. убирался, нашел за столом флешку,которую потерял уже пару лет назад. естественно вставил посмотреть что на ней)
и совершенно случайно наткнулся на папку ""на пати 30 во 2рую"" аеее..помню как еще тогда в далеком 2009 готовились к новогодней хунте xD потом как обычно накидались хД эх..10 класс...послушал все - ностальгия *__* правда какого-то хера там еще было пару треков, которые позже только были..но не удивительно..флеха скок лет пролежала..та и потерял не сразу же походу)
ае...естественно, даю такую возможность для всех вспомнить былое ^__^
скачать папку можно по ссылке: 
или торрентом: 

З.Ы. заебись проебал - заебись нашел)
делимся;)"
positive,"это крутейшая тема!!!! дуб!!!! интересно, а какая у них там всходимость семян?:)"
negative,просто отвратительно
positive,ты доолжнаааааа узнать ее из моих песнопений.ахахаха
negative,"ты типа меня так подъебал??)))) ""спасибо за видео"" то что я тебе забыл его кинуть чтоль?)))"
negative,"Чувак, ты неудачник"
negative,Блин! Единственное фото со мной с Behance Meet Up - и то ужас какой то)
negative,"В пизду любовь и нахуй грусть,пойду-ка лучше я нажрусь!"
positive,"...мои,курочки, мой Понедельник будет не из лёгких....Амстердам, ждет меня , обязательно захвачу Вам по мафину с гашишом, и волшебных грибов...привезу Вам счастье!!!"
positive,Беляши мои Беляши!!!! Теперь мама и папа))) Матвей Никитич)))
positive,клаааааааааааасная)))))
negative,фууу алые хуйняя
negative,"ебанько,ты чё перья свои взъерошил и гребень поднял?"
positive,"Сегодня мой лутший день,я переполнен радостью за Динамо и Днепр,они в нелёхкой борьбе смогли победить своих соперников,БЕЛО-СИНИЕ САМИЕ СИЛЬНЫЕ,надеюсь Черноморец сегодня покажет сегодня не хутший футбол чем другие нашие команды"
positive,В Москву наконец пришла золотая осень! #осенняяпораочейочарованье
positive,Закончили 9ый класс🎓 Написали экзамены и теперь для нас начинается лето☀️
negative,Ебать сколько тебе лет? 18????
positive,"может и не смешно , но мы всем подъездом орём,на весь район )ахахахах"
negative,вот говнюк блин!((
positive,"Сегодня, хороший повод украсить свою жизнь романтикой...))"
negative,"Обещали суперлуние, но луна в небе вполне обычного размера("
positive,Хочу в даник!*
positive,Урааааа!!! Сдали госы!!!хороши девочки!!!!)))
positive,"А у блондинки-белие ботинки,рыжая собачка и крутая тачка... А у меня брюнетки-губки как конфетки, класная фигура и совсем не дура))"
positive,ахах=))Никогда пьяные не выбивай соседу нього дверь=))Ничего из этого хорошего не получится=))честно говорю=))
positive,"я сделала паузу на музыке, которая охватывает все частички ДУШИ, чтобы послушать твое мнение;)))))"
positive,"ахахах
фуфты-фуфты-фу :ЗЗ"
negative,"лови,гадёныш! хороших тебе снов,блин!"
positive,"Ириночка, Ты просто молодец!
я рада очень за тебя, вчерашний серии был просто отличный прыжок.. очень рада.. 
Ты для меня просто самая самая)
Мы тебя Любим , Ценим , И Уважаем.
Ты для нас просто ангелочек.)"
positive,"Класс,обожаю котов"
positive,Редко мне такое нравится.но вот эта ващпе по бане тема)
positive,Самая няшная:33
negative,кто сейчас едет в #Щорс? Не могу найти попутчика — все ссат!
positive,"Ты нежная. Ласковая, солнечная, милая, неповторимая, сияющая,

желанная и конечно же моя!!!!!!!!!!!"
positive,Я дочка самой лучшей мамы на свете😊😘😻
negative,:Р (Качество не очень конечно)
positive,Еще одно успешное мероприятие в активе!
negative,Понаприсоединяли
positive,"Лучшая подруга - это когда у вас есть такие слова, услышав которые вы вдвоём начинаете истерически смеяться, а все остальные смотрят на вас как на идиоток..))        Я тебе говорила что фотка ахуенная)*"
positive,ой как красивоооооо....а где это ты?
positive,у тебя покрасивее )))
negative,"Эта любовь не дожила до утра. 
И до зимы она не дожила. 
И, намотав немалый километраж, 
Она ушла искать другой рай."
positive,Ураааа :) Наконец-то.Поздровляю Реал Мадрид с победой в финале Кубка Испании над Барселоной :) еееееее
negative,"Бльооооо,ну как заставить себя работать!!!"
positive,А с чего у вас начинается охуенный вечер?))
negative,"приехал домой...простудился, заболел"
positive,Я таки сделала это! Не обошлось и без методологии Челентано - давить ягоду конечностями. С удовольствием лячкалась в свежем виноградном соке. Руки теперь красные и жгутся - но это того стоило! 🍇🍷💪🏻
positive,Самый красивый фонтан в мире!!!
positive,ХОЧУ ТАКОЙ ИВЕНТ В КИЕВЕ ! ! !
positive,"Как же классно, позвонить своим пацанам, собраться, посидеть душевно, вспомнить прошлое..."
positive,"Дорогие мои и любимые ТАНЦОРЫ!
Замечательные мои БОТАНИКИ!
Мы завтра всё сможем!"
negative,Этой ночью Валтасар был был убит своими холопами...
negative,Жопа с ручками
positive,"Я не могу XD Это просто шедеврально))) ""Яаааааа по улице лечууууууу, Яааааа мороженое хочУУУУУУОООООООООО!!!"" Пацанёнок явно хотел перейти на гроул, НО... Не получилось )))"
positive,вкусняша))
negative,она сегодня грустная...(((
negative,"Каждый день пытка,без твоей улыбки!!"
negative,ДТП. Маму реально жалко.
negative,"Я ХАЧУ СПААТЬ!!!!!!!!!!!!!
Матвеев умоляю...."
positive,Вахаха пищча^-^
positive,Спокойная хорошая песенка))) Обожаю её)))
positive,"все супер,падругому неможет быть )))"
positive,зая только моя *♥
positive,"Первый Марафон Done!
 Жесть... Еще больше Преклоняюсь 
перед теми, кто пробегает полный IRONMAN, где после 4 км плавания, 180 км на вело надо пробежать марафон 42 195 метров...

Железные люди, не зря так и называется - IRONMAN! 
Тут пока 42 бежишь, пару  раз умереть хочется))). Эмоции и рассказ после! Скажу точно, легче было когда 4 забега за 1 день и когда было два полумарафона за два дня, чем марафон с таким солнышком и такими тягунами! 

Но терпелка и выносливость поднялась на какой то Небесный Уровень! @ Московский Марафон - Moscow Marathon"
positive,Просто у нее теплые ладошки и милая улыбка..Просто ее глаза самые родные и любимые..Просто ты моя..Просто я люблю тебя...♥♥♥
positive,"Люблю...Люблю твои глаза,люблю твою улыбку,люблю потому,что ты есть..."
negative,Обойдешся!!!на ручки она захотела видиш ли...с(=
positive,"Гордишься тем, что у тебя вконтакте три сотни друзей?.. А я горжусь тремя... но настоящими."
positive,"Все будет здорово
"
negative,"Отодвинув мечты и устав от идей,
Жду зимы, как другие не ждут.
Помнишь, ты обещал, что не будет дождей?
А они всё идут и идут…

Удивлённо смотрю из квартирных окон -
Я во сне или всё ж наяву?
Помнишь, ты говорил, что вся жизнь — это сон?
Я проснулась, и странно, живу…

А назавтра опять мне играть свою роль,
И смеяться опять невпопад.
Помнишь, ты говорил, что любовь — это боль?!
Ты ошибся, любовь — это ад…"
positive,Мечты сбываются.
negative,Однажды ко мне подошёл маленький ребёнок и положив руку на сердце сказал крови нет но болит вот здесь. Я взял острый предмет и слегка порезал себе руку … после чего я сказал : Кровь идёт лиш тогда когда ранено тело. Это может казаться ужасным. Но со временем боль проходит. Раны тела можно быстро изцелить лекарствами. Раны в душе куда серьёзнее. Их так просто не излечишь. Он спросил меня в душе ? Я ему ответил что телесные раны и душевные разные вещи. В отличии от телесных для душевных ран не существует лекарств… И они могут не затянуться никогда. И только одна вещь может их исцелить. Но это очень неудобное лекарство. Им может исцелить тебя кто то другой. Он спросил меня что это ? я ответил это ЛЮБОВЬ.
positive,"Для тех, кто меня ""потерял"":
в сети не появлялась ввиду 3-х дневного отсутствия связи и потому, что прекрасно проводила дни в реале (велосипед, парк, встречи с друзьями, красное вино, мороженое), а также попутно фанатично проходила дичайший квест про психиатрическую лечебницу и тайные правительственные эксперименты, Overclocked: A History of Violence | Overclocked. Оправданная жестокость.
Спасибо, кто вспомнил обо мне и написал ни много, ни мало, а 32 обеспокоенных сообщения - друзья, у меня ВСЁ В ПОРЯДКЕ!...
И если я опять ""пропаду"", то ненадолго.
Всем PEACE!...)"
negative,"За мою красоту, кроткий нрав и личное обоянее вышшие силы решили покарать меня сопляме до колена. Ну шоп мол гордыня нас не обуяла, раз мы такой божественный агнец и луч света в темном царстве((("
positive,Блондиночка в самом начале самая нормальная=))) а ваще там все телы клевые=)))
positive,"Для наших деток,классная колыбельная!)))"
positive,"ТЫ ХОРОШИЙ,МАЛЕНЬКИЙ МОЙ ЧЕЛОВЕЧИК!!!"
positive,"Поздравляю с распадом и полураспадом Битлз!
Желаю им побыстрее вернуться на сцену, особенно Джону и Джорджу."
positive,"Наш любимый ансамбль!;)
Шк. муз. №5"
negative,"Я в больнице, зашибись гриппом заболел ("
positive, скажи какой классный)))
positive,"Моя трансформация) Вот что спорт с людьми делает)) Разница между первыми и вторыми фото 3-4 года)Именно спорт раскрыл меня, мой характер и потенциал! Только спорт и дисциплина развили во мне веру в себя и стремление достигать всего чего хочет сердце.Преодолевайте страхи и стереотипы, выходите из зоны комфорта. И вы начнете искренне уважать себя...и с этого зародится ваша непоколебимая ВЕРА В СЕБЯ! И тогда вы свернете горы!"
positive,"Таня спасибо за прекрасный кофе и ...Маяковского! Искрометная Катя,милая Марина,остроумный Даниил! Жду встречи у нашей девицы))"
negative,"выходные прошли => пора мечтаний, планов, целей => самовольно втягиваюсь в рутину => мда."
negative,"и не стоит мстить,месть губит мечты!!!"
positive,ахахахах хотел уже писать ты кто? )))))))))))))
negative,"Боюсь, что он столько еще не проживет"
negative,"Вместо того, чтобы стирать слезы с лица, сотрите из жизни людей, которые заставили вас плакать."
negative,"Влюбленность - всего лишь повышенный уровень естественных амфетаминов.
Все эти размышления о любви - не более, чем бред наркомана😏"
positive,"Я знаю, где твое самое безопасное место на свете . — Где? — За моей спиной.."
negative,"А откуда известно, что сооружения были немецкими, а затем модернизированы поляками? Честно говоря, хорошо представляя как выглядели немецкие сооружения времен Первой Мировой, и представляя объем выполненых работ, я не понимаю зачем это было делать? По-моему проще было новое сооружение построить, нет?"
negative,Шас в крюкаше разгромили Торговый комплекс и четверых зарезали ....!!!!!
positive,одна из самых любимых !!)
positive,Как же я жду ноябрь! Как никогда раньше не ждал!)))Все получится в лучшем виде. Ноябрь !!!!!!!
positive,офигенная)
negative,"C63 AMG, только так и надо! Влез аккуратно, поблагодарил. Автор пишет что вырезал звук из-за мата в салоне, автор, олень это ты :) Для тех кто вырезает звук 6.2-литровой V-образной восьмерки в аду предусмотрен отдельный котел!"
positive,здорова ))видео конечно жесткое столько машин побилось но зато отдуши поржал)
positive,Я тоже этого хочу...
positive,Мне сегодня подарили телефон просто так 😊🙏
